Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating,Project Description
France,5283,1,12,Onshore,0,2010,Boralex,16308000,6.413333333,,,1.531118512,3.301385641,2.000324727,86.31331,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in France. It is a multi phase project beginning in 2010, with a cost of 16308000.0 GBP and is owned by Boralex. The project is onshore, and the average annual wind speed is 6.413 m/s. France has a credit rating of 21/21, with a GDP growth of 2.000% and 86.313% of its GDP in debt. The inflation rate is 1.531 and the energy inflation rate is 3.301."
France,4965,0,12,Onshore,0,2022,JP Energie Environnement,16308000,6.315,,,5.222367,23.73546019,2.570840474,111.9513,19,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in France. It is a single phase project beginning in 2022, with a cost of 16308000.0 GBP and is owned by JP Energie Environnement. The project is onshore, and the average annual wind speed is 6.315 m/s. France has a credit rating of 19/21, with a GDP growth of 2.571% and 111.951% of its GDP in debt. The inflation rate is 5.222 and the energy inflation rate is 23.735."
France,2514,0,26,Onshore,0,2019,Eurowatt Services,35334000,6.703333333,,,1.299999952,1.744135022,2.027446476,97.88586,19,"Evaluate the probability of success for a 26.0 MW Onshore wind farm in France. It is a single phase project beginning in 2019, with a cost of 35334000.0 GBP and is owned by Eurowatt Services. The project is onshore, and the average annual wind speed is 6.703 m/s. France has a credit rating of 19/21, with a GDP growth of 2.027% and 97.886% of its GDP in debt. The inflation rate is 1.300 and the energy inflation rate is 1.744."
Germany,4356,1,15,Onshore,0,2013,WPD,20385000,6.493333333,,,1.504725099,1.971489668,0.386224576,76.79466,21,"Evaluate the probability of success for a 15.0 MW Onshore wind farm in Germany. It is a multi phase project beginning in 2013, with a cost of 20385000.0 GBP and is owned by WPD. The project is onshore, and the average annual wind speed is 6.493 m/s. Germany has a credit rating of 21/21, with a GDP growth of 0.386% and 76.795% of its GDP in debt. The inflation rate is 1.505 and the energy inflation rate is 1.971."
Greece,1901,0,33.6,Onshore,1,?,GRSRE Wind Project Single Member SA,45662400,,,,,,,,,"Evaluate the probability of success for a 33.6 MW Onshore wind farm in Greece. It is a single phase project beginning in an unknwon year, with a cost of 45662400.0 GBP and is owned by GRSRE Wind Project Single Member SA. The project is onshore."
Germany,3709,1,18,Onshore,0,2016,Energiekontor,24462000,7.113333333,,,0.491744995,0,2.294710677,67.63065,21,"Evaluate the probability of success for a 18.0 MW Onshore wind farm in Germany. It is a multi phase project beginning in 2016, with a cost of 24462000.0 GBP and is owned by Energiekontor. The project is onshore, and the average annual wind speed is 7.113 m/s. Germany has a credit rating of 21/21, with a GDP growth of 2.295% and 67.631% of its GDP in debt. The inflation rate is 0.492 and the energy inflation rate is 0.000."
United Kingdom,5191,0,12,Onshore,0,2012,RWE,16308000,7.726666667,,,2.564104319,2.724234581,1.508998374,84.4826,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in United Kingdom. It is a single phase project beginning in 2012, with a cost of 16308000.0 GBP and is owned by RWE. The project is onshore, and the average annual wind speed is 7.727 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of 1.509% and 84.483% of its GDP in debt. The inflation rate is 2.564 and the energy inflation rate is 2.724."
Italy,1961,1,33,Onshore,0,2003,Enel,44847000,5.813333333,,,2.672562838,3.319448233,0.066553853,105.1408,19,"Evaluate the probability of success for a 33.0 MW Onshore wind farm in Italy. It is a multi phase project beginning in 2003, with a cost of 44847000.0 GBP and is owned by Enel. The project is onshore, and the average annual wind speed is 5.813 m/s. Italy has a credit rating of 19/21, with a GDP growth of 0.067% and 105.141% of its GDP in debt. The inflation rate is 2.673 and the energy inflation rate is 3.319."
Italy,5194,0,12,Onshore,0,2012,Inergia SPA,16308000,6.383333333,,,3.041360378,7.027999878,-3.125238795,125.8705,16,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in Italy. It is a single phase project beginning in 2012, with a cost of 16308000.0 GBP and is owned by Inergia SPA. The project is onshore, and the average annual wind speed is 6.383 m/s. Italy has a credit rating of 16/21, with a GDP growth of -3.125% and 125.871% of its GDP in debt. The inflation rate is 3.041 and the energy inflation rate is 7.028."
Ukraine,422,1,100,Onshore,1,2019,DTEK,135900000,6.653333333,,,7.886000156,5.909555435,3.199503862,50.61624,5,"Evaluate the probability of success for a 100.0 MW Onshore wind farm in Ukraine. It is a multi phase project beginning in 2019, with a cost of 135900000.0 GBP and is owned by DTEK. The project is onshore, and the average annual wind speed is 6.653 m/s. Ukraine has a credit rating of 5/21, with a GDP growth of 3.200% and 50.616% of its GDP in debt. The inflation rate is 7.886 and the energy inflation rate is 5.910."
Germany,5135,0,12,Onshore,0,2014,Blue Elephant Energy AG (BEE),16308000,6.216666667,,,0.90679872,0.845330298,2.169498929,73.82303,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2014, with a cost of 16308000.0 GBP and is owned by Blue Elephant Energy AG (BEE). The project is onshore, and the average annual wind speed is 6.217 m/s. Germany has a credit rating of 21/21, with a GDP growth of 2.169% and 73.823% of its GDP in debt. The inflation rate is 0.907 and the energy inflation rate is 0.845."
Greece,2273,0,29.4,Onshore,1,?,Energy Trading SA,39954600,,,,,,,,,"Evaluate the probability of success for a 29.4 MW Onshore wind farm in Greece. It is a single phase project beginning in an unknwon year, with a cost of 39954600.0 GBP and is owned by Energy Trading SA. The project is onshore."
France,4278,0,15,Onshore,0,2022,RWE AG,20385000,5.7,,,5.222367,23.73546019,2.570840474,111.9513,19,"Evaluate the probability of success for a 15.0 MW Onshore wind farm in France. It is a single phase project beginning in 2022, with a cost of 20385000.0 GBP and is owned by RWE AG. The project is onshore, and the average annual wind speed is 5.700 m/s. France has a credit rating of 19/21, with a GDP growth of 2.571% and 111.951% of its GDP in debt. The inflation rate is 5.222 and the energy inflation rate is 23.735."
Greece,4764,0,13.8,Onshore,0,2020,Enel,18754200,6.786666667,,,-1.247951877,-3.765300547,-9.196231471,213.1524,9,"Evaluate the probability of success for a 13.8 MW Onshore wind farm in Greece. It is a single phase project beginning in 2020, with a cost of 18754200.0 GBP and is owned by Enel. The project is onshore, and the average annual wind speed is 6.787 m/s. Greece has a credit rating of 9/21, with a GDP growth of -9.196% and 213.152% of its GDP in debt. The inflation rate is -1.248 and the energy inflation rate is -3.765."
Portugal,2569,1,26,Onshore,0,2008,Trustenergy SA,35334000,3.766666667,,,2.588508606,3.948156595,0.319247162,75.64259,18,"Evaluate the probability of success for a 26.0 MW Onshore wind farm in Portugal. It is a multi phase project beginning in 2008, with a cost of 35334000.0 GBP and is owned by Trustenergy SA. The project is onshore, and the average annual wind speed is 3.767 m/s. Portugal has a credit rating of 18/21, with a GDP growth of 0.319% and 75.643% of its GDP in debt. The inflation rate is 2.589 and the energy inflation rate is 3.948."
Spain,2713,0,25,Onshore,0,1996,Acciona,33975000,4.87,,,3.558846951,3.831655979,2.607411183,65.44195,19,"Evaluate the probability of success for a 25.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 1996, with a cost of 33975000.0 GBP and is owned by Acciona. The project is onshore, and the average annual wind speed is 4.870 m/s. Spain has a credit rating of 19/21, with a GDP growth of 2.607% and 65.442% of its GDP in debt. The inflation rate is 3.559 and the energy inflation rate is 3.832."
France,5344,1,12,Onshore,0,2008,Renewable Energy Systems (RES),16308000,6.233333333,,,2.812865257,4.735337734,0.380171426,69.73569,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in France. It is a multi phase project beginning in 2008, with a cost of 16308000.0 GBP and is owned by Renewable Energy Systems (RES). The project is onshore, and the average annual wind speed is 6.233 m/s. France has a credit rating of 21/21, with a GDP growth of 0.380% and 69.736% of its GDP in debt. The inflation rate is 2.813 and the energy inflation rate is 4.735."
Ireland,3960,0,17,Onshore,0,2016,Storm,23103000,7.536666667,,,0.008308411,-0.475799084,1.22263861,72.63962,15,"Evaluate the probability of success for a 17.0 MW Onshore wind farm in Ireland. It is a single phase project beginning in 2016, with a cost of 23103000.0 GBP and is owned by Storm. The project is onshore, and the average annual wind speed is 7.537 m/s. Ireland has a credit rating of 15/21, with a GDP growth of 1.223% and 72.640% of its GDP in debt. The inflation rate is 0.008 and the energy inflation rate is -0.476."
Austria,3225,0,21,Onshore,0,2014,Energiepark Bruck/Leitha GMBH,28539000,6.12,,,1.605804801,1.590000033,0.755799077,84.04751,20,"Evaluate the probability of success for a 21.0 MW Onshore wind farm in Austria. It is a single phase project beginning in 2014, with a cost of 28539000.0 GBP and is owned by Energiepark Bruck/Leitha GMBH. The project is onshore, and the average annual wind speed is 6.120 m/s. Austria has a credit rating of 20/21, with a GDP growth of 0.756% and 84.048% of its GDP in debt. The inflation rate is 1.606 and the energy inflation rate is 1.590."
Germany,6147,0,10,Onshore,0,1999,PROKON,13590000,7.46,,,0.585434675,1.275393605,2.130116685,59.87108,21,"Evaluate the probability of success for a 10.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 1999, with a cost of 13590000.0 GBP and is owned by PROKON. The project is onshore, and the average annual wind speed is 7.460 m/s. Germany has a credit rating of 21/21, with a GDP growth of 2.130% and 59.871% of its GDP in debt. The inflation rate is 0.585 and the energy inflation rate is 1.275."
France,4944,0,12.5,Onshore,0,2008,Ventient Energy,16987500,7.446666667,,,2.812865257,4.735337734,0.380171426,69.73569,21,"Evaluate the probability of success for a 12.5 MW Onshore wind farm in France. It is a single phase project beginning in 2008, with a cost of 16987500.0 GBP and is owned by Ventient Energy. The project is onshore, and the average annual wind speed is 7.447 m/s. France has a credit rating of 21/21, with a GDP growth of 0.380% and 69.736% of its GDP in debt. The inflation rate is 2.813 and the energy inflation rate is 4.735."
Spain,1308,0,44,Onshore,0,2009,Iberdrola,59796000,5.086666667,,,-0.28799358,1.29409802,-3.768133072,53.07928,20,"Evaluate the probability of success for a 44.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 2009, with a cost of 59796000.0 GBP and is owned by Iberdrola. The project is onshore, and the average annual wind speed is 5.087 m/s. Spain has a credit rating of 20/21, with a GDP growth of -3.768% and 53.079% of its GDP in debt. The inflation rate is -0.288 and the energy inflation rate is 1.294."
Portugal,3386,1,20,Onshore,0,2014,Ventient Energy,27180000,5.233333333,,,-0.278158814,2.221875429,0.741391471,132.9407,11,"Evaluate the probability of success for a 20.0 MW Onshore wind farm in Portugal. It is a multi phase project beginning in 2014, with a cost of 27180000.0 GBP and is owned by Ventient Energy. The project is onshore, and the average annual wind speed is 5.233 m/s. Portugal has a credit rating of 11/21, with a GDP growth of 0.741% and 132.941% of its GDP in debt. The inflation rate is -0.278 and the energy inflation rate is 2.222."
Switzerland,4499,1,14,Onshore,0,2023,Romande Energie,19026000,5.71,,,2.13540088,6.402064644,0.716066869,33.31652,21,"Evaluate the probability of success for a 14.0 MW Onshore wind farm in Switzerland. It is a multi phase project beginning in 2023, with a cost of 19026000.0 GBP and is owned by Romande Energie. The project is onshore, and the average annual wind speed is 5.710 m/s. Switzerland has a credit rating of 21/21, with a GDP growth of 0.716% and 33.317% of its GDP in debt. The inflation rate is 2.135 and the energy inflation rate is 6.402."
France,5513,0,12,Onshore,0,-,Kallista Energy,16308000,6.444347826,,,,,,,,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in France. It is a single phase project beginning in an unknwon year, with a cost of 16308000.0 GBP and is owned by Kallista Energy. The project is onshore."
Germany,5416,0,12,Onshore,0,2006,WindStrom,16308000,6.94,,,1.577432156,2.939437389,3.855736152,65.75402,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2006, with a cost of 16308000.0 GBP and is owned by WindStrom. The project is onshore, and the average annual wind speed is 6.940 m/s. Germany has a credit rating of 21/21, with a GDP growth of 3.856% and 65.754% of its GDP in debt. The inflation rate is 1.577 and the energy inflation rate is 2.939."
Germany,4131,0,16,Onshore,0,2013,DunoAir; Futura,21744000,5.883333333,,,1.504725099,1.971489668,0.386224576,76.79466,21,"Evaluate the probability of success for a 16.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2013, with a cost of 21744000.0 GBP and is owned by DunoAir and  Futura. The project is onshore, and the average annual wind speed is 5.883 m/s. Germany has a credit rating of 21/21, with a GDP growth of 0.386% and 76.795% of its GDP in debt. The inflation rate is 1.505 and the energy inflation rate is 1.971."
Poland,3555,0,19,Onshore,0,2022,European Energy A/S,25821000,7.005,,,14.3,29.09904934,5.255456974,49.1991,15,"Evaluate the probability of success for a 19.0 MW Onshore wind farm in Poland. It is a single phase project beginning in 2022, with a cost of 25821000.0 GBP and is owned by European Energy A/S. The project is onshore, and the average annual wind speed is 7.005 m/s. Poland has a credit rating of 15/21, with a GDP growth of 5.255% and 49.199% of its GDP in debt. The inflation rate is 14.300 and the energy inflation rate is 29.099."
France,5606,0,11,Onshore,0,2014,Total Quadran,14949000,6.686666667,,,0.507763743,1.757389784,0.997832938,96.3175,21,"Evaluate the probability of success for a 11.0 MW Onshore wind farm in France. It is a single phase project beginning in 2014, with a cost of 14949000.0 GBP and is owned by Total Quadran. The project is onshore, and the average annual wind speed is 6.687 m/s. France has a credit rating of 21/21, with a GDP growth of 0.998% and 96.317% of its GDP in debt. The inflation rate is 0.508 and the energy inflation rate is 1.757."
Spain,3473,1,20,Onshore,0,2006,Engasa Eolica SA,27180000,4.623333333,,,3.515373945,6.521553516,4.043435207,39.01906,21,"Evaluate the probability of success for a 20.0 MW Onshore wind farm in Spain. It is a multi phase project beginning in 2006, with a cost of 27180000.0 GBP and is owned by Engasa Eolica SA. The project is onshore, and the average annual wind speed is 4.623 m/s. Spain has a credit rating of 21/21, with a GDP growth of 4.043% and 39.019% of its GDP in debt. The inflation rate is 3.515 and the energy inflation rate is 6.522."
Ukraine,421,1,100,Onshore,1,2019,DTEK,135900000,6.653333333,,,7.886000156,5.909555435,3.199503862,50.61624,5,"Evaluate the probability of success for a 100.0 MW Onshore wind farm in Ukraine. It is a multi phase project beginning in 2019, with a cost of 135900000.0 GBP and is owned by DTEK. The project is onshore, and the average annual wind speed is 6.653 m/s. Ukraine has a credit rating of 5/21, with a GDP growth of 3.200% and 50.616% of its GDP in debt. The inflation rate is 7.886 and the energy inflation rate is 5.910."
Germany,2915,0,23,Onshore,0,2023,PNE AG,31257000,6.03,,,5.946436677,6.403984767,-0.26643841,62.66008,21,"Evaluate the probability of success for a 23.0 MW Onshore wind farm in Germany. It is a single phase project beginning in 2023, with a cost of 31257000.0 GBP and is owned by PNE AG. The project is onshore, and the average annual wind speed is 6.030 m/s. Germany has a credit rating of 21/21, with a GDP growth of -0.266% and 62.660% of its GDP in debt. The inflation rate is 5.946 and the energy inflation rate is 6.404."
Sweden,614,0,72,Onshore,0,2020,WPD,97848000,4.216666667,,,0.497367319,-0.12742566,-2.005337504,40.31189,21,"Evaluate the probability of success for a 72.0 MW Onshore wind farm in Sweden. It is a single phase project beginning in 2020, with a cost of 97848000.0 GBP and is owned by WPD. The project is onshore, and the average annual wind speed is 4.217 m/s. Sweden has a credit rating of 21/21, with a GDP growth of -2.005% and 40.312% of its GDP in debt. The inflation rate is 0.497 and the energy inflation rate is -0.127."
Italy,2386,0,28,Onshore,0,2009,PLT Energia SRL,38052000,3.55,,,0.774766505,-0.124860622,-5.305154033,116.1213,17,"Evaluate the probability of success for a 28.0 MW Onshore wind farm in Italy. It is a single phase project beginning in 2009, with a cost of 38052000.0 GBP and is owned by PLT Energia SRL. The project is onshore, and the average annual wind speed is 3.550 m/s. Italy has a credit rating of 17/21, with a GDP growth of -5.305% and 116.121% of its GDP in debt. The inflation rate is 0.775 and the energy inflation rate is -0.125."
Croatia,1093,0,49,Onshore,0,2018,Enlight Renewable Energy,66591000,4.88,,,1.5,5.6,2.904681493,72.62027,11,"Evaluate the probability of success for a 49.0 MW Onshore wind farm in Croatia. It is a single phase project beginning in 2018, with a cost of 66591000.0 GBP and is owned by Enlight Renewable Energy. The project is onshore, and the average annual wind speed is 4.880 m/s. Croatia has a credit rating of 11/21, with a GDP growth of 2.905% and 72.620% of its GDP in debt. The inflation rate is 1.500 and the energy inflation rate is 5.600."
Netherlands,2132,1,30,Onshore,0,2020,Yard Energy Group BV; VolkerWind,40770000,8.263333333,,,1.272460378,0.527492996,-3.867953393,53.33677,21,"Evaluate the probability of success for a 30.0 MW Onshore wind farm in Netherlands. It is a multi phase project beginning in 2020, with a cost of 40770000.0 GBP and is owned by Yard Energy Group BV and  VolkerWind. The project is onshore, and the average annual wind speed is 8.263 m/s. Netherlands has a credit rating of 21/21, with a GDP growth of -3.868% and 53.337% of its GDP in debt. The inflation rate is 1.272 and the energy inflation rate is 0.527."
France,806,1,55.2,Onshore,0,2011,Nordex,75016800,6.096666667,,,2.111598015,4.445785046,2.437576569,88.9102,21,"Evaluate the probability of success for a 55.2 MW Onshore wind farm in France. It is a multi phase project beginning in 2011, with a cost of 75016800.0 GBP and is owned by Nordex. The project is onshore, and the average annual wind speed is 6.097 m/s. France has a credit rating of 21/21, with a GDP growth of 2.438% and 88.910% of its GDP in debt. The inflation rate is 2.112 and the energy inflation rate is 4.446."
Poland,1451,0,40,Onshore,0,2022,ORLEN Group SA,54360000,6.385,,,14.3,29.09904934,5.255456974,49.1991,15,"Evaluate the probability of success for a 40.0 MW Onshore wind farm in Poland. It is a single phase project beginning in 2022, with a cost of 54360000.0 GBP and is owned by ORLEN Group SA. The project is onshore, and the average annual wind speed is 6.385 m/s. Poland has a credit rating of 15/21, with a GDP growth of 5.255% and 49.199% of its GDP in debt. The inflation rate is 14.300 and the energy inflation rate is 29.099."
Spain,1257,0,45,Onshore,0,2011,EDP,61155000,4.96,,,3.196138859,7.229995728,-0.639920691,69.52841,18,"Evaluate the probability of success for a 45.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 2011, with a cost of 61155000.0 GBP and is owned by EDP. The project is onshore, and the average annual wind speed is 4.960 m/s. Spain has a credit rating of 18/21, with a GDP growth of -0.640% and 69.528% of its GDP in debt. The inflation rate is 3.196 and the energy inflation rate is 7.230."
United Kingdom,3412,0,20,Onshore,1,2011,Banks Renewables,27180000,6.936666667,,,3.884572744,2.714504004,1.138362347,81.42507,21,"Evaluate the probability of success for a 20.0 MW Onshore wind farm in United Kingdom. It is a single phase project beginning in 2011, with a cost of 27180000.0 GBP and is owned by Banks Renewables. The project is onshore, and the average annual wind speed is 6.937 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of 1.138% and 81.425% of its GDP in debt. The inflation rate is 3.885 and the energy inflation rate is 2.715."
Serbia,1374,0,42,Onshore,0,2018,Elicio,57078000,5.506666667,,,1.95,,4.649350355,53.30462,10,"Evaluate the probability of success for a 42.0 MW Onshore wind farm in Serbia. It is a single phase project beginning in 2018, with a cost of 57078000.0 GBP and is owned by Elicio. The project is onshore, and the average annual wind speed is 5.507 m/s. Serbia has a credit rating of 10/21, with a GDP growth of 4.649% and 53.305% of its GDP in debt. The inflation rate is 1.950 and the energy inflation rate is nan."
United Kingdom,701,1,64.8,Offshore hard mount,0,2009,Orsted,168556928.4,7.806666667,8.69,8.83,1.9721632,2.176790476,-4.62055372,64.91501,21,"Evaluate the probability of success for a 64.8 MW Offshore hard mount wind farm in United Kingdom. It is a multi phase project beginning in 2009, with a cost of 168556928.4 GBP and is owned by Orsted. The project is 8.69 km from shore at a depth of 8.83 meters, and the average annual wind speed is 7.807 m/s. United Kingdom has a credit rating of 21/21, with a GDP growth of -4.621% and 64.915% of its GDP in debt. The inflation rate is 1.972 and the energy inflation rate is 2.177."
Norway,810,0,55,Onshore,0,2020,TronderEnergi Kraft AS ; Stadtwerke Munchen GmbH,74745000,7.303333333,,,1.286584907,-3.487698987,-1.278171785,46.1091,21,"Evaluate the probability of success for a 55.0 MW Onshore wind farm in Norway. It is a single phase project beginning in 2020, with a cost of 74745000.0 GBP and is owned by TronderEnergi Kraft AS  and  Stadtwerke Munchen GmbH. The project is onshore, and the average annual wind speed is 7.303 m/s. Norway has a credit rating of 21/21, with a GDP growth of -1.278% and 46.109% of its GDP in debt. The inflation rate is 1.287 and the energy inflation rate is -3.488."
Denmark,4124,0,16,Onshore,0,2013,Kikkenborg Vindkraft I/S; Gunnar Lisby Kjaer; Skovgaard Invest APS; Wind Estate A/S,21744000,8.546666667,,,0.789073348,1.976181746,1.39267347,43.91183,21,"Evaluate the probability of success for a 16.0 MW Onshore wind farm in Denmark. It is a single phase project beginning in 2013, with a cost of 21744000.0 GBP and is owned by Kikkenborg Vindkraft I/S and  Gunnar Lisby Kjaer and  Skovgaard Invest APS and  Wind Estate A/S. The project is onshore, and the average annual wind speed is 8.547 m/s. Denmark has a credit rating of 21/21, with a GDP growth of 1.393% and 43.912% of its GDP in debt. The inflation rate is 0.789 and the energy inflation rate is 1.976."
Portugal,5823,1,10,Onshore,0,2016,Ventient Energy,13590000,5.413333333,,,0.607398987,0.385936558,2.004141094,131.5057,11,"Evaluate the probability of success for a 10.0 MW Onshore wind farm in Portugal. It is a multi phase project beginning in 2016, with a cost of 13590000.0 GBP and is owned by Ventient Energy. The project is onshore, and the average annual wind speed is 5.413 m/s. Portugal has a credit rating of 11/21, with a GDP growth of 2.004% and 131.506% of its GDP in debt. The inflation rate is 0.607 and the energy inflation rate is 0.386."
Bulgaria,4616,0,14,Onshore,0,2012,Lukerg Renew GMBH,19026000,5.393333333,,,2.953849792,7.370606422,0.748814897,22.79465,13,"Evaluate the probability of success for a 14.0 MW Onshore wind farm in Bulgaria. It is a single phase project beginning in 2012, with a cost of 19026000.0 GBP and is owned by Lukerg Renew GMBH. The project is onshore, and the average annual wind speed is 5.393 m/s. Bulgaria has a credit rating of 13/21, with a GDP growth of 0.749% and 22.795% of its GDP in debt. The inflation rate is 2.954 and the energy inflation rate is 7.371."
Greece,4467,0,14.9,Onshore,0,2017,Terna Energy,20249100,5.79,,,1.138,2.168021202,1.473124985,183.2054,5,"Evaluate the probability of success for a 14.9 MW Onshore wind farm in Greece. It is a single phase project beginning in 2017, with a cost of 20249100.0 GBP and is owned by Terna Energy. The project is onshore, and the average annual wind speed is 5.790 m/s. Greece has a credit rating of 5/21, with a GDP growth of 1.473% and 183.205% of its GDP in debt. The inflation rate is 1.138 and the energy inflation rate is 2.168."
Spain,1867,0,34,Onshore,0,2011,ACS Group,46206000,5.673333333,,,3.196138859,7.229995728,-0.639920691,69.52841,18,"Evaluate the probability of success for a 34.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 2011, with a cost of 46206000.0 GBP and is owned by ACS Group. The project is onshore, and the average annual wind speed is 5.673 m/s. Spain has a credit rating of 18/21, with a GDP growth of -0.640% and 69.528% of its GDP in debt. The inflation rate is 3.196 and the energy inflation rate is 7.230."
Spain,5386,0,12,Onshore,0,2006,EDP,16308000,4.523333333,,,3.515373945,6.521553516,4.043435207,39.01906,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 2006, with a cost of 16308000.0 GBP and is owned by EDP. The project is onshore, and the average annual wind speed is 4.523 m/s. Spain has a credit rating of 21/21, with a GDP growth of 4.043% and 39.019% of its GDP in debt. The inflation rate is 3.515 and the energy inflation rate is 6.522."
Spain,4233,0,16,Onshore,0,1999,Acciona,21744000,3.986666667,,,2.310335398,2.129180193,4.408865512,60.85314,20,"Evaluate the probability of success for a 16.0 MW Onshore wind farm in Spain. It is a single phase project beginning in 1999, with a cost of 21744000.0 GBP and is owned by Acciona. The project is onshore, and the average annual wind speed is 3.987 m/s. Spain has a credit rating of 20/21, with a GDP growth of 4.409% and 60.853% of its GDP in debt. The inflation rate is 2.310 and the energy inflation rate is 2.129."
Germany,3350,1,20,Onshore,0,2017,WPD,27180000,8.086666667,,,1.711,1.241764545,2.716024519,63.95238,21,"Evaluate the probability of success for a 20.0 MW Onshore wind farm in Germany. It is a multi phase project beginning in 2017, with a cost of 27180000.0 GBP and is owned by WPD. The project is onshore, and the average annual wind speed is 8.087 m/s. Germany has a credit rating of 21/21, with a GDP growth of 2.716% and 63.952% of its GDP in debt. The inflation rate is 1.711 and the energy inflation rate is 1.242."
Sweden,5222,1,12,Onshore,0,2011,OX2 AB,16308000,4,,,2.961152792,0,3.163910481,37.38042,21,"Evaluate the probability of success for a 12.0 MW Onshore wind farm in Sweden. It is a multi phase project beginning in 2011, with a cost of 16308000.0 GBP and is owned by OX2 AB. The project is onshore, and the average annual wind speed is 4.000 m/s. Sweden has a credit rating of 21/21, with a GDP growth of 3.164% and 37.380% of its GDP in debt. The inflation rate is 2.961 and the energy inflation rate is 0.000."
Spain,1966,1,33,Onshore,0,2019,Mirova Eurofideme,44847000,6.24,,,0.699999988,-1.237797976,1.961178532,97.57882,16,"Evaluate the probability of success for a 33.0 MW Onshore wind farm in Spain. It is a multi phase project beginning in 2019, with a cost of 44847000.0 GBP and is owned by Mirova Eurofideme. The project is onshore, and the average annual wind speed is 6.240 m/s. Spain has a credit rating of 16/21, with a GDP growth of 1.961% and 97.579% of its GDP in debt. The inflation rate is 0.700 and the energy inflation rate is -1.238."
Czech Republic,2553,1,26,Onshore,1,2010,CEZ Group,35334000,5.546666667,,,1.472733974,1.649977446,2.714665115,36.70009,16,"Evaluate the probability of success for a 26.0 MW Onshore wind farm in Czech Republic. It is a multi phase project beginning in 2010, with a cost of 35334000.0 GBP and is owned by CEZ Group. The project is onshore, and the average annual wind speed is 5.547 m/s. Czech Republic has a credit rating of 16/21, with a GDP growth of 2.715% and 36.700% of its GDP in debt. The inflation rate is 1.473 and the energy inflation rate is 1.650."
Italy,4506,0,14,Onshore,0,2021,Enel,19026000,6.193333333,,,1.873783,14.08469,8.931062066,145.7347,14,"Evaluate the probability of success for a 14.0 MW Onshore wind farm in Italy. It is a single phase project beginning in 2021, with a cost of 19026000.0 GBP and is owned by Enel. The project is onshore, and the average annual wind speed is 6.193 m/s. Italy has a credit rating of 14/21, with a GDP growth of 8.931% and 145.735% of its GDP in debt. The inflation rate is 1.874 and the energy inflation rate is 14.085."
Portugal,2298,0,29,Onshore,0,2016,Energiekontor,39411000,4.576666667,,,0.607398987,0.385936558,2.004141094,131.5057,11,"Evaluate the probability of success for a 29.0 MW Onshore wind farm in Portugal. It is a single phase project beginning in 2016, with a cost of 39411000.0 GBP and is owned by Energiekontor. The project is onshore, and the average annual wind speed is 4.577 m/s. Portugal has a credit rating of 11/21, with a GDP growth of 2.004% and 131.506% of its GDP in debt. The inflation rate is 0.607 and the energy inflation rate is 0.386."
France,4502,1,14,Onshore,0,2022,Boralex,19026000,6.285,,,5.222367,23.73546019,2.570840474,111.9513,19,"Evaluate the probability of success for a 14.0 MW Onshore wind farm in France. It is a multi phase project beginning in 2022, with a cost of 19026000.0 GBP and is owned by Boralex. The project is onshore, and the average annual wind speed is 6.285 m/s. France has a credit rating of 19/21, with a GDP growth of 2.571% and 111.951% of its GDP in debt. The inflation rate is 5.222 and the energy inflation rate is 23.735."
United Kingdom,4350,0,15,Onshore,0,2013,Renantis UK Ltd,20385000,7.496666667,,,2.291663408,2.352421284,1.799921494,85.31606,20,"Evaluate the probability of success for a 15.0 MW Onshore wind farm in United Kingdom. It is a single phase project beginning in 2013, with a cost of 20385000.0 GBP and is owned by Renantis UK Ltd. The project is onshore, and the average annual wind speed is 7.497 m/s. United Kingdom has a credit rating of 20/21, with a GDP growth of 1.800% and 85.316% of its GDP in debt. The inflation rate is 2.292 and the energy inflation rate is 2.352."
