Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating
Greece,5539,1,11.4,Onshore,0,2000,Rokas Renewables,15492600,6.51,,,3.151180029,6.178898335,4.137827099,104.9344,15
United Kingdom,4390,0,15,Onshore,1,2009,Vattenfall AB,20385000,7.54,,,1.9721632,2.176790476,-4.62055372,64.91501,21
Romania,193,1,214,Onshore,0,2013,Iberdrola,290826000,4.063333333,,,3.991640568,4.1,0.278771877,37.78312,11
Romania,695,1,65,Onshore,0,2012,Alerion,88335000,4.776666667,,,3.337636948,6.9,1.903616968,35.37141,12
Spain,5196,0,12,Onshore,0,2012,Acciona,16308000,5.74,,,2.446004391,5.063489914,-2.865113673,89.56038,12
Germany,5137,0,12,Onshore,0,2014,Envia,16308000,6.45,,,0.90679872,0.845330298,2.169498929,73.82303,21
France,3118,0,22,Onshore,0,2006,Eolfi,29898000,6.876666667,,,1.675130725,4.659837723,2.714064518,65.32475,21
Italy,3873,0,18,Onshore,0,2001,ERG,24462000,5.963333333,,,2.785171509,3.076341152,2.006433298,108.513,19
Greece,5017,0,12,Onshore,0,2017,Protergia,16308000,4.636666667,,,1.138,2.168021202,1.473124985,183.2054,5
France,6064,0,10,Onshore,0,2007,EDP; Ventient Energy,13590000,8.066666667,,,1.487993479,2.966151237,2.530481862,65.3614,21
Germany,3143,1,22,Onshore,0,2001,RWE AG,29898000,6.856666667,,,1.983850956,2.450403214,1.636541013,57.58368,21
Denmark,5188,0,12,Onshore,0,2012,Ausumgaard IS,16308000,8.083333333,,,2.397917986,2.603148699,-0.005432319,44.94315,21
Sweden,6048,0,10,Onshore,0,2007,Nordisk Vindkraft,13590000,3.943333333,,,2.212168932,0,3.224911317,39.07255,21
Greece,1977,0,32,Onshore,1,?,Anemodrase Single Member SA,43488000,,,,,,,,
France,5861,0,10,Onshore,0,2015,Neoen,13590000,5.86,,,0.037512854,0.410003603,1.066754735,97.07373,19
Spain,980,1,50,Onshore,0,2008,Saeta Yield SA,67950000,4.723333333,,,4.07565403,6.641723633,0.767165775,39.6088,21
France,6177,0,10,Onshore,0,-,3D Energies,13590000,6.880869565,,,,,,,
Spain,795,1,56,Onshore,0,2020,Iberdrola,76104000,5.843333333,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Norway,218,0,200,Onshore,1,2007,Statkraft AS,271800000,4.896666667,,,0.712596357,-0.869917691,2.914039986,49.51508,21
Spain,2867,0,24,Onshore,0,2002,Acciona,32616000,5.54,,,3.06576395,2.26916194,2.755456153,51.23687,21
Italy,4456,0,15,Onshore,0,2000,IVPC Group,20385000,5.886666667,,,2.537687063,5.827968121,3.882098842,108.7428,19
Sweden,3750,0,18,Onshore,0,2012,E.ON,24462000,4.77,,,0.888376236,0,-0.414465721,37.68633,21
France,5305,0,12,Onshore,0,2009,Juwi GmbH,16308000,6.156666667,,,0.087618731,-0.113706842,-2.824551503,84.03127,21
Spain,1069,1,49,Onshore,0,2021,Repsol SA; other ; Pontegadea Inversiones SL,66591000,5.99,,,3.093135,21.23588,6.683144185,115.5939,16
France,5169,0,12,Onshore,0,2013,KGAL Group,16308000,5.883333333,,,0.863710403,2.433341503,0.781756446,94.68683,19
Portugal,4114,1,16,Onshore,0,2015,IKEA,21744000,5.106666667,,,0.487942129,0.231446117,1.589798289,131.1791,11
Spain,2459,0,27,Onshore,0,2016,Exus Partners; Energaas Renovables del Bierzo (ERBI),36693000,5.72,,,-0.202674866,-4.238033295,2.915156028,101.9665,15
Austria,5391,1,12,Onshore,0,2006,Viktor Kaplan Muerz GMBH,16308000,4.09,,,1.441548347,4.28000021,3.269336106,67.30903,21
Germany,3961,1,17,Onshore,0,2016,Blue Elephant Energy AG (BEE),23103000,6.873333333,,,0.491744995,0,2.294710677,67.63065,21
Romania,1255,1,45,Onshore,1,2011,GCS,61155000,3.94,,,5.787102222,9.3,4.495589099,32.3465,11
Spain,1051,1,50,Onshore,0,2019,Mirova Eurofideme,67950000,5.85,,,0.699999988,-1.237797976,1.961178532,97.57882,16
Ireland,2925,0,23,Onshore,0,2020,Statkraft AS,31257000,7.733333333,,,-0.334584625,-1.032326125,7.157898831,57.00719,17
France,3725,0,18,Onshore,0,2014,Allianz SE,24462000,6.296666667,,,0.507763743,1.757389784,0.997832938,96.3175,21
France,4483,1,14.4,Onshore,0,2011,Escofi,19569600,5.913333333,,,2.111598015,4.445785046,2.437576569,88.9102,21
Sweden,5986,0,10,Onshore,0,2009,Siral System CO AB,13590000,6.13,,,-0.49445942,0,-4.255573743,40.9476,21
Poland,3075,1,22,Onshore,0,2014,Momentum Infra 1 GmbH; Winergy Orla Wind LTD; Eurwatt SC; Nordex,29898000,6.42,,,0.053822465,1.556987166,3.920508624,51.38972,15
Spain,4204,1,16,Onshore,0,2006,Acciona ; Med Wind,21744000,5.46,,,3.515373945,6.521553516,4.043435207,39.01906,21
Germany,4420,0,15,Onshore,0,2003,WPD,20385000,5.926666667,,,1.034225345,1.510221601,-0.529928994,62.70924,21
United Kingdom,4024,1,17,Onshore,0,1997,Ventient Energy,23103000,7.506666667,,,2.189780951,2.978894234,4.924648319,44.13203,21
Spain,2403,1,28,Onshore,0,2007,Saeta Yield SA,38052000,5.12,,,2.787031889,3.659707785,3.533500122,35.69813,21
Hungary,4381,0,15,Onshore,0,2010,ALTEO Group,20385000,5.506666667,,,4.855552197,5.511756897,1.076254043,79.49113,12
Belgium,2715,0,25,Onshore,0,2009,Ventient Energy,33975000,6.43,,,-0.053141583,-3.909904718,-1.906440894,100.2168,20
France,5971,0,10,Onshore,0,2010,Valorem,13590000,6.666666667,,,1.531118512,3.301385641,2.000324727,86.31331,21
Romania,1949,1,33,Onshore,0,2012,EDP,44847000,5.963333333,,,3.337636948,6.9,1.903616968,35.37141,12
Germany,4669,0,14,Onshore,0,2008,WPD,19026000,6.613333333,,,2.628387928,3.424206972,0.910403196,64.5862,21
Italy,3795,0,18,Onshore,0,2008,Renvico Holding,24462000,5.606666667,,,3.347833157,6.451290131,-1.023138477,105.7877,17
Netherlands,83,1,380,Offshore hard mount,0,2021,INPEX Corp; Octopus ; Royal Van Oord ; Diamond Generating ; Luxcara GMBH; Eneco ; Royal Dutch Shell PLC  ; Nuveen Infrastructure,1006494917,8.323333333,25.75,21.47,2.67572,17.2592,6.276830732,50.43565,21
United Kingdom,4051,0,16.4,Onshore,0,2006,Wind Prospect Developments LTD,22287600,7.176666667,,,2.518891573,4.665380001,2.380694025,42.05836,21
Spain,1047,1,50,Onshore,0,2007,Exus Partners,67950000,5.51,,,2.787031889,3.659707785,3.533500122,35.69813,21
Spain,2313,0,29,Onshore,0,2005,EDP,39411000,4.353333333,,,3.368458509,5.324462414,3.551225515,42.39519,21
France,5023,0,12,Onshore,0,2017,TotalEnergies,16308000,6.67,,,1.163,1.601827264,2.083614851,98.48331,19
Sweden,2816,0,24,Onshore,0,2010,Svevind AB,32616000,4.053333333,,,1.157981992,0,5.750735843,38.30193,21
France,5246,1,12,Onshore,0,2011,EuroCape New Energy,16308000,6.09,,,2.111598015,4.445785046,2.437576569,88.9102,21
Italy,3878,1,18,Onshore,0,2000,ERG,24462000,5.806666667,,,2.537687063,5.827968121,3.882098842,108.7428,19
Norway,339,0,120,Onshore,1,2014,Haugaland Kraft,163080000,5.856666667,,,2.041705608,1.291266203,2.048131999,29.66098,21
Spain,4234,0,16,Onshore,0,1998,RWE,21744000,6.233333333,,,1.834336162,1.4659338,4.301977405,62.35467,19
France,5164,1,12,Onshore,0,2013,IWB Industrielle Werke Basel AG,16308000,6.863333333,,,0.863710403,2.433341503,0.781756446,94.68683,19
Spain,1754,0,36,Onshore,0,2007,Acciona,48924000,5.543333333,,,2.787031889,3.659707785,3.533500122,35.69813,21
Spain,1568,0,39,Onshore,0,2004,ACS Group,53001000,5.473333333,,,3.039197922,3.496448517,3.114531452,45.3327,21
Germany,1496,0,40,Onshore,0,2010,BKW AG,54360000,6.4,,,1.103802323,0.990008533,4.146767545,80.37553,21
Finland,294,1,142,Onshore,0,2022,Prime Capital AG; CPC Finland Oy,192978000,5.455,,,7.123507,30.69680686,1.450048073,73.94323,20
Portugal,6103,0,10,Onshore,0,2005,EDP,13590000,5.25,,,2.27715683,4.368259907,0.781847758,72.24908,18
France,4118,0,16,Onshore,0,2015,Volkswind GmbH,21744000,5.356666667,,,0.037512854,0.410003603,1.066754735,97.07373,19
Sweden,5983,1,10,Onshore,0,2009,Power Wind Partners,13590000,3.89,,,-0.49445942,0,-4.255573743,40.9476,21
France,2756,0,24,Onshore,0,2019,Boralex,32616000,6.703333333,,,1.299999952,1.744135022,2.027446476,97.88586,19
Finland,1795,0,35,Onshore,0,2017,Suomen Hyotytuuli Oy,47565000,4.69,,,0.839,1.297056556,3.303370161,66.51211,20
Germany,5180,0,12,Onshore,0,2013,Futura,16308000,5.883333333,,,1.504725099,1.971489668,0.386224576,76.79466,21
United Kingdom,236,1,177,Onshore,0,2018,EDF,240543000,7.786666667,,,2.32,1.855871797,1.405190266,86.34547,19
Spain,1274,1,45,Onshore,0,2010,Audax Renovables,61155000,6.573333333,,,1.799884915,3.527857542,0.094122317,60.26603,20
France,3219,1,21,Onshore,0,2015,Engie,28539000,6.233333333,,,0.037512854,0.410003603,1.066754735,97.07373,19
France,3576,0,19,Onshore,0,2017,Eurowatt Services,25821000,6.336666667,,,1.163,1.601827264,2.083614851,98.48331,19
Spain,1001,0,50,Onshore,0,2005,Iberdrola,67950000,5.373333333,,,3.368458509,5.324462414,3.551225515,42.39519,21
Portugal,6073,0,10,Onshore,0,2006,Energiekontor,13590000,3.75,,,3.1076684,3.856348753,1.625034638,73.67943,18
Spain,232,0,180,Onshore,0,2022,Enel,244620000,6.02,,,8.390576,29.4164652,6.179312226,109.4039,16
Greece,3290,0,20.7,Onshore,0,2015,Ellaktor SA,28131300,5.14,,,-1.736045003,-6.472187042,-0.228301959,179.0804,5
Spain,952,1,50,Onshore,1,2011,Desarrollos Eolicos Cuenca de Barbera SL,67950000,4.696666667,,,3.196138859,7.229995728,-0.639920691,69.52841,18
Poland,1944,0,33,Onshore,0,2013,Acciona,44847000,6.166666667,,,0.991986692,1.963978171,0.684240607,57.11583,15
Poland,827,0,54,Onshore,0,2015,EDP,73386000,6.19,,,-0.874127567,0.702593625,4.431767003,51.34457,16
France,4565,0,14,Onshore,0,2016,VSB,19026000,5.2,,,0.183335871,-0.11499691,0.860031082,98.02478,19
Norway,1555,1,39,Onshore,0,2012,TronderEnergi Kraft AS ; Stadtwerke Munchen GmbH,53001000,7.87,,,0.696865737,-1.873118162,2.717959267,30.90833,21
Spain,5454,0,12,Onshore,0,2003,Acciona,16308000,4.77,,,3.039239645,2.886516333,2.939289664,47.68695,20
Italy,4716,0,14,Onshore,0,2002,E2I Energie Speciali SRL,19026000,5.8,,,2.465317011,0.270205379,0.26992962,105.9475,19
Greece,4067,0,16,Onshore,1,?,EWF Energy Hellas Wind Park Orosemo LLC,21744000,,,,,,,,
France,2904,0,23.6,Onshore,0,2023,Velocita Energies,32072400,5.64,,,4.878357265,5.925709159,0.936487503,110.6418,19
Poland,3968,0,17,Onshore,0,2015,RWE AG,23103000,6.42,,,-0.874127567,0.702593625,4.431767003,51.34457,16
France,3768,0,18,Onshore,0,2011,EnBW,24462000,5.89,,,2.111598015,4.445785046,2.437576569,88.9102,21
United Kingdom,685,0,66,Onshore,0,2017,Ventient Energy,89694000,7.53,,,2.683,2.041315317,2.656504893,86.72315,19
France,3904,0,17.2,Onshore,0,2013,InnoVent Group,23374800,7.206666667,,,0.863710403,2.433341503,0.781756446,94.68683,19
Greece,2910,0,23.1,Onshore,1,?,Rokas Renewables,31392900,,,,,,,,
Germany,3120,1,22,Onshore,0,2006,Boreas,29898000,6.196666667,,,1.577432156,2.939437389,3.855736152,65.75402,21
Greece,4929,0,12.6,Onshore,1,?,Spider Energy SA,17123400,,,,,,,,
Spain,2914,0,23,Onshore,0,2023,Naturgy,31257000,4.68,,,3.532361335,-15.78456276,2.675663493,105.0343,16
Poland,1384,1,42,Onshore,0,2014,Lewandpol Group,57078000,6.17,,,0.053822465,1.556987166,3.920508624,51.38972,15
Denmark,5219,0,12,Onshore,0,2011,European Energy A/S,16308000,7.533333333,,,2.758678913,3.84332943,1.310803779,46.02907,21
Greece,1539,0,39,Onshore,1,?,W E Graigos New Energies SA,53001000,,,,,,,,
Spain,1273,1,45,Onshore,0,2020,Copenhagen Infrastructure Partners,61155000,6.236666667,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Spain,1219,1,46,Onshore,0,2007,Acciona,62514000,5.316666667,,,2.787031889,3.659707785,3.533500122,35.69813,21
Portugal,6108,1,10,Onshore,0,2005,Finerge SA ; Guild Investments LTD,13590000,3.75,,,2.27715683,4.368259907,0.781847758,72.24908,18
Luxembourg,3898,0,17.5,Onshore,0,-,Societe Luxembourgeoise des Energies Renouvelables SA (Soler),23782500,6.412608696,,,,,,,
Estonia,66,1,420,Offshore hard mount,1,2014,Baltic Blue Energy OU,1090826940,7.93,7.26,26.3,-0.106180392,-1.426195145,3.322787536,10.45833,18
Spain,6155,1,10,Onshore,0,-,Mirova Eurofideme,13590000,6.21173913,,,,,,,
Spain,3105,1,22,Onshore,0,2008,Naturgy,29898000,5.826666667,,,4.07565403,6.641723633,0.767165775,39.6088,21
Spain,951,0,50,Onshore,0,2012,Iberdrola,67950000,5.98,,,2.446004391,5.063489914,-2.865113673,89.56038,12
Finland,1281,0,44,Onshore,0,2023,Renewable Power Capital; OX2 AB,59796000,4.38,,,6.250643222,-1.180894007,-1.163962815,77.02499,20
Italy,4294,0,15,Onshore,0,2018,E2I Energie Speciali SRL,20385000,6.496666667,,,1.14,2.564749718,0.826646697,134.138,13
Germany,2850,0,24,Onshore,0,2006,NOTUS Energy,32616000,6.45,,,1.577432156,2.939437389,3.855736152,65.75402,21
Italy,5257,0,12,Onshore,0,2010,Renvico Holding,16308000,5.42,,,1.525517702,1.211658478,1.529105757,118.7371,17
Russia,592,0,75.6,Onshore,1,2020,Gazprombank; Fortum,102740400,6.403333333,,,3.381659372,3.022539884,-2.653654501,19.15613,12
Spain,4219,0,16,Onshore,0,2003,Acciona,21744000,4.443333333,,,3.039239645,2.886516333,2.939289664,47.68695,20
Norway,1249,0,45,Onshore,1,2013,RWE,61155000,3.876666667,,,2.120480061,5.294428825,1.016190824,31.42718,21
Italy,2009,1,32,Onshore,0,2011,RWE,43488000,5.433333333,,,2.780637741,5.178144455,0.695463129,119.1057,16
Spain,3860,1,18,Onshore,0,2000,Dobreve Energia SA; EDP,24462000,7.783333333,,,3.433526039,4.422429562,5.200641186,57.84051,20
Spain,1303,0,44,Onshore,1,2011,Iberdrola,59796000,5.73,,,3.196138859,7.229995728,-0.639920691,69.52841,18
France,4501,1,14,Onshore,0,2022,Boralex,19026000,6.285,,,5.222367,23.73546019,2.570840474,111.9513,19
Hungary,960,0,50,Onshore,0,2010,Iberdrola,67950000,5.506666667,,,4.855552197,5.511756897,1.076254043,79.49113,12
United Kingdom,3612,0,18.5,Onshore,0,2016,Ventient Energy,25141500,8.133333333,,,1,1.675421953,1.921710078,87.82519,19
Austria,1946,1,33,Onshore,0,2013,Energie Burgenland,44847000,6.186666667,,,2.000159502,2.390000105,-0.250726546,81.26635,20
Spain,1253,1,45,Onshore,0,2012,Iberdrola,61155000,5.61,,,2.446004391,5.063489914,-2.865113673,89.56038,12
United Kingdom,71,0,400,Offshore hard mount,1,2014,Orsted; B9; Renewable Energy Systems (RES),1072156867,8.54,15.59,42.27,1.425663471,1.997074246,3.194637313,87.09433,21
France,4321,0,15,Onshore,0,2015,GM,20385000,6.483333333,,,0.037512854,0.410003603,1.066754735,97.07373,19
Lithuania,5949,1,10,Onshore,0,2010,UAB Ignitis Renewables,13590000,6.493333333,,,1.319215178,4.730881691,0.427199034,36.21662,16
Norway,4843,0,13,Onshore,0,2016,TronderEnergi Kraft AS ; Stadtwerke Munchen GmbH,17667000,5.11,,,3.550003052,4.483703136,1.164724235,37.90699,21
Sweden,2517,0,26,Onshore,0,2017,Glennmont Partners,35334000,4.293333333,,,1.867,6.730000019,1.825156015,41.10535,21
Spain,1370,0,42,Onshore,0,2019,Naturgy,57078000,3.973333333,,,0.699999988,-1.237797976,1.961178532,97.57882,16
France,1805,0,35,Onshore,0,2011,Eolfi,47565000,5.89,,,2.111598015,4.445785046,2.437576569,88.9102,21
Greece,5525,0,11.7,Onshore,0,2003,Enel,15900300,6.18,,,3.530652046,4.425450802,5.796823035,101.4561,17
Germany,5887,0,10,Onshore,0,2014,LHI Group,13590000,6.643333333,,,0.90679872,0.845330298,2.169498929,73.82303,21
Germany,1816,1,35,Onshore,0,2005,DISA Group,47565000,6.566666667,,,1.546913624,2.818756342,0.885697236,66.46009,21
Germany,4739,1,14,Onshore,0,1998,Energiekontor,19026000,7.27,,,0.911186218,0.957162142,2.096161408,59.30243,21
Bulgaria,1809,0,35,Onshore,1,2008,WPD,47565000,5.93,,,12.34820461,12.00924778,6.129558799,18.78659,13
France,3939,0,17,Onshore,0,2019,Engie,23103000,6.493333333,,,1.299999952,1.744135022,2.027446476,97.88586,19
Spain,2256,0,30,Onshore,0,-,Grupo Jorge; Naturgy,40770000,5.683913043,,,,,,,
Germany,5653,1,11,Onshore,0,2002,PNE AG,14949000,6.66,,,1.420809388,0.910149872,-0.228310249,59.26526,21
Greece,5716,0,10,Onshore,0,2021,Vatora Energy SA,13590000,4.313333333,,,1.223826,12.30831,8.654497853,201.1673,10
Spain,2546,0,26,Onshore,0,2012,Saeta Yield SA,35334000,5.773333333,,,2.446004391,5.063489914,-2.865113673,89.56038,12
France,4200,0,16,Onshore,0,2007,Epuron,21744000,6.993333333,,,1.487993479,2.966151237,2.530481862,65.3614,21
France,5346,1,12,Onshore,0,2008,Boralex,16308000,5.7,,,2.812865257,4.735337734,0.380171426,69.73569,21
Italy,3123,0,22,Onshore,0,2005,Fortore Energia SPA,29898000,5.573333333,,,1.985297203,4.895356655,0.76241072,106.1756,18
Netherlands,1843,0,34,Onshore,0,2021,Private Owners; Windunie,46206000,6.793333333,,,2.67572,17.2592,6.276830732,50.43565,21
Spain,2222,0,30,Onshore,0,2006,EDP,40770000,6.113333333,,,3.515373945,6.521553516,4.043435207,39.01906,21
France,1587,0,38,Onshore,0,2019,Futuren,51642000,6.246666667,,,1.299999952,1.744135022,2.027446476,97.88586,19
Portugal,4702,0,14,Onshore,0,2004,Energia Verde,19026000,3.75,,,2.365364313,2.995444536,1.78873566,67.0995,19
Italy,5162,1,12,Onshore,0,2013,CVA SPA,16308000,5.66,,,1.219995141,2.076303005,-1.818025061,131.8163,13
Netherlands,3042,1,22,Onshore,0,2020,Eneco; Yard Energy Group BV,29898000,8.263333333,,,1.272460378,0.527492996,-3.867953393,53.33677,21
Denmark,3688,0,18,Onshore,0,2017,Lisby Windpower APS; Community Ownership; Skovgaard Invest APS; JJB Vind APS,24462000,7.703333333,,,1.058,1.231712341,3.056477244,35.94862,21
Italy,754,0,60,Onshore,0,2009,F2i SGR,81540000,4.08,,,0.774766505,-0.124860622,-5.305154033,116.1213,17
Spain,3532,0,20,Onshore,0,-,Helia Renovables,27180000,4.675217391,,,,,,,
Spain,3806,0,18,Onshore,0,2007,Enel,24462000,3.896666667,,,2.787031889,3.659707785,3.533500122,35.69813,21
Norway,627,0,71,Onshore,0,2012,Fred Olsen Renewables AB,96489000,6.966666667,,,0.696865737,-1.873118162,2.717959267,30.90833,21
Belgium,3117,0,22,Onshore,0,2006,Eneco,29898000,6.69,,,1.791200876,4.673305988,2.552340678,91.49441,20
Spain,4886,0,13,Onshore,0,2004,Acciona,17667000,6.24,,,3.039197922,3.496448517,3.114531452,45.3327,21
Italy,2873,0,24,Onshore,0,2001,ERG,32616000,5.766666667,,,2.785171509,3.076341152,2.006433298,108.513,19
Spain,1911,0,33.6,Onshore,1,2020,Naturgy,45662400,4.746666667,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Spain,2868,0,24,Onshore,0,2002,RWE,32616000,6.276666667,,,3.06576395,2.26916194,2.755456153,51.23687,21
Greece,3019,0,22,Onshore,1,?,TBS Energy CORP,29898000,,,,,,,,
France,5336,0,12,Onshore,0,2008,EDP,16308000,5.696666667,,,2.812865257,4.735337734,0.380171426,69.73569,21
Germany,5101,1,12,Onshore,0,2015,CEE,16308000,6.03,,,0.514420152,-0.414969653,1.652719772,70.55988,21
Italy,2947,0,23,Onshore,0,2014,CVA SPA,31257000,5.41,,,0.241050467,0.016540658,-0.00138764,134.7553,12
Spain,3275,0,21,Onshore,0,2001,Norvento,28539000,4.823333333,,,3.589828014,3.382987976,3.919088791,54.05223,21
Denmark,5079,0,12,Onshore,0,2015,Private Investor - Lars Eriksen ; Community Ownership ; Wind Estate A/S,16308000,7.706666667,,,0.452031076,0.050028067,2.104414587,39.89418,21
Finland,2124,0,30,Onshore,0,2021,Infracapital,40770000,5.303333333,,,2.194574,9.620338,2.734713486,73.13908,20
Greece,1404,0,42,Onshore,0,2006,Terna Energy,57078000,4.693333333,,,3.195950031,6.493074417,6.44339775,103.6117,16
France,3221,0,21,Onshore,0,2015,WPD,28539000,6.183333333,,,0.037512854,0.410003603,1.066754735,97.07373,19
United Kingdom,4481,1,14.4,Onshore,0,2014,JLEN Environmental Assets Group,19569600,7.326666667,,,1.425663471,1.997074246,3.194637313,87.09433,21
Greece,5519,0,11.9,Onshore,0,2003,Plastika Crete Industrial and Commercial SA,16172100,6.566666667,,,3.530652046,4.425450802,5.796823035,101.4561,17
United Kingdom,116,1,316,Offshore hard mount,0,2022,INPEX Corp; Mitsubishi UFJ Lease & Finance Co Ltd; Equitix LTD; Kansai Electric Power Co; China Three Gorges Corp,859000759.3,8.685,29.23,73.2,7.9,46.66091283,4.839085147,100.4323,18
France,5508,0,12,Onshore,0,-,Engie,16308000,6.743043478,,,,,,,
Romania,560,1,80,Onshore,0,2012,Eolica Dobrogea,108720000,6.1,,,3.337636948,6.9,1.903616968,35.37141,12
Spain,3155,0,22,Onshore,0,2020,EDP,29898000,6.226666667,,,-0.322671033,-3.54274493,-10.94007066,119.179,16
Spain,3113,0,22,Onshore,0,2007,Acciona,29898000,5.656666667,,,2.787031889,3.659707785,3.533500122,35.69813,21
Spain,2604,1,26,Onshore,0,2002,Grupo SAMCA,35334000,5.96,,,3.06576395,2.26916194,2.755456153,51.23687,21
France,5782,0,10,Onshore,0,2017,Aventron AG,13590000,6.406666667,,,1.163,1.601827264,2.083614851,98.48331,19
France,2361,0,28,Onshore,0,2016,Leonidas Associates,38052000,6.183333333,,,0.183335871,-0.11499691,0.860031082,98.02478,19
Spain,3526,1,20,Onshore,0,1997,Viesgo Renovables SL,27180000,6.726666667,,,1.971074224,3.443284035,3.587299762,64.2863,19
France,5165,1,12,Onshore,0,2013,IWB Industrielle Werke Basel AG,16308000,6.863333333,,,0.863710403,2.433341503,0.781756446,94.68683,19
Spain,3591,0,19,Onshore,0,2005,EDP,25821000,5.613333333,,,3.368458509,5.324462414,3.551225515,42.39519,21
France,4771,1,13.8,Onshore,0,2009,P&T Technologie,18754200,5.576666667,,,0.087618731,-0.113706842,-2.824551503,84.03127,21
Denmark,5152,0,12,Onshore,0,2013,Hojstrup Vind KS,16308000,8.206666667,,,0.789073348,1.976181746,1.39267347,43.91183,21
France,3931,0,17,Onshore,0,2020,TTR Energy,23103000,6.716666667,,,0.476498853,-0.206244222,-7.44064593,114.853,20
Estonia,1540,0,39,Onshore,0,2023,Utilitas,53001000,6.95,,,9.452176704,4.725850719,-3.023035841,19.31421,18
Denmark,5151,0,12,Onshore,0,2013,Wind Estate A/S,16308000,7.856666667,,,0.789073348,1.976181746,1.39267347,43.91183,21
France,4832,0,13,Onshore,0,2017,Engie,17667000,5.876666667,,,1.163,1.601827264,2.083614851,98.48331,19
United Kingdom,1783,0,35,Onshore,0,2022,Renewables Infrastructure Group LTD (TRIG),47565000,8.485,,,7.9,46.66091283,4.839085147,100.4323,18
Greece,4397,0,15,Onshore,0,2008,Kallista Energy,20385000,4.796666667,,,4.152791023,8.609102249,0.057473579,109.4155,17
United Kingdom,5869,0,10,Onshore,1,2014,RWE AG,13590000,8.07,,,1.425663471,1.997074246,3.194637313,87.09433,21
Germany,4306,1,15,Onshore,0,2017,Krug Energie,20385000,6.233333333,,,1.711,1.241764545,2.716024519,63.95238,21
Spain,4744,1,14,Onshore,0,-,Enel; Elawan Energy SL,19026000,4.762173913,,,,,,,
Greece,3303,0,20,Onshore,1,?,Spider Energy SA,27180000,,,,,,,,
Portugal,1585,1,38,Onshore,0,2021,Onex Renewables,51642000,5.173333333,,,1.265657,7.276162,5.558757523,124.5476,13
Germany,5659,1,11,Onshore,0,2001,Ostwind,14949000,6.653333333,,,1.983850956,2.450403214,1.636541013,57.58368,21
Denmark,5590,0,11,Onshore,0,2017,Mogelvang Vindmollelaug I/S; Elkaer Vind KS,14949000,7.866666667,,,1.058,1.231712341,3.056477244,35.94862,21
Germany,2780,0,24,Onshore,0,2015,WPD,32616000,7.54,,,0.514420152,-0.414969653,1.652719772,70.55988,21
France,5429,1,12,Onshore,0,2005,JPEE,16308000,6.176666667,,,1.74586904,4.746580601,1.888565802,68.03877,21
Germany,1667,0,37,Onshore,0,2014,Energiequelle GmbH,50283000,6.563333333,,,0.90679872,0.845330298,2.169498929,73.82303,21
Sweden,2822,0,24,Onshore,0,2009,Allianz SE,32616000,6.41,,,-0.49445942,0,-4.255573743,40.9476,21
Spain,1162,0,48,Onshore,0,2003,Acciona,65232000,3.743333333,,,3.039239645,2.886516333,2.939289664,47.68695,20
France,2745,0,24,Onshore,0,2021,Octopus,32616000,6.393333333,,,1.642331,10.45525,6.882337866,113.0879,20
Germany,2245,0,30,Onshore,0,-,EOS Holdings,40770000,6.82173913,,,,,,,
United Kingdom,1153,1,48,Onshore,0,2008,Community Windpower,65232000,8.213333333,,,3.481384993,4.696794987,-0.248797298,50.82737,21
Portugal,1879,1,34,Onshore,0,2008,Finerge SA ; Guild Investments LTD,46206000,3.703333333,,,2.588508606,3.948156595,0.319247162,75.64259,18
Sweden,1196,0,46.2,Onshore,0,2023,Rabbalshede Kraft AB,62785800,4.89,,,8.548624897,-9.78123785,-0.310670185,36.37123,21
Spain,1509,1,40,Onshore,0,2007,EDP; Ventient Energy,54360000,5.733333333,,,2.787031889,3.659707785,3.533500122,35.69813,21
Spain,1107,1,48,Onshore,0,2022,Acciona,65232000,5.755,,,8.390576,29.4164652,6.179312226,109.4039,16
Greece,96,0,350,Offshore hard mount,1,?,Minoika Thalassia Wind Park SA,923437083.3,,0.5,456.81,,,,,
Germany,4916,0,13,Onshore,0,2007,IKEA,17667000,6.233333333,,,2.298336029,1.922888994,2.89010719,63.08144,21
Greece,1116,0,48,Onshore,0,2018,Spider Energy SA,65232000,3.723333333,,,0.63,0.067085952,2.064672533,190.6744,8
Netherlands,4924,1,12.9,Onshore,0,2024,Pure Energy,17531100,6.77,,,3.838393543,-22.05954498,0.074560722,45.02355,21
Norway,587,0,76,Onshore,0,2020,Luxcara GMBH,103284000,7.336666667,,,1.286584907,-3.487698987,-1.278171785,46.1091,21
Germany,2382,0,28,Onshore,0,2011,Thuga Erneuerbare Energien GMBH & CO KG,38052000,6.45,,,2.075176716,3.075814486,3.757968866,77.84923,21
Spain,1615,0,38,Onshore,0,2009,Acciona,51642000,5.64,,,-0.28799358,1.29409802,-3.768133072,53.07928,20
