Country,Entry ID,Mutiple Phase,Capacity (MW),Installation Type,Cancelled,Start year,Owner,Latitude,Longitude,Estimated Project Cost (GBP),Annual Wind Speed (m/s),Distance to Shore For Offshore (km),Ocean Depth For Offshore (m),Inflation in Project Country (HCPI),Energy Inflation in Project Country (EPI),Country GDP Growth Rate,Government Debt as Percentage of GDP,Country Credit Rating
France,2610,0,26,Onshore,0,2021,RWE AG,47.0036,2.0733,35334000,6.193333333,N/A,N/A,1.642331,10.45525,6.882337866,113.0879,20
Italy,2611,0,26,Onshore,0,2009,ASJA Ambiente Italia,37.7673,13.7399,35334000,5.156666667,N/A,N/A,0.774766505,-0.124860622,-5.305154033,116.1213,17
Italy,2612,0,26,Onshore,0,-,Fri-El SPA,41.8165,15.0161,35334000,5.442608696,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Spain,2613,0,26,Onshore,0,-,EDP,39.6591,-2.3808,35334000,5.789565217,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Spain,2614,0,26,Onshore,0,2005,Siroco Capital SCR SA; other ; Naturgy,38.1501,-1.0167,35334000,4.736666667,N/A,N/A,3.368458509,5.324462414,3.551225515,42.39519,21
Finland,2615,0,25.8,Onshore,0,2022,Ilmatar,61.5559,22.6216,35062200,4.335,N/A,N/A,7.123507,30.69680686,1.450048073,73.94323,20
Finland,2616,1,25.8,Onshore,0,2022,PROKON; Neoen,63.9008,23.9170,35062200,4.935,N/A,N/A,7.123507,30.69680686,1.450048073,73.94323,20
Greece,2617,1,25.5,Onshore,0,2011,Eren Hellas,38.1941,23.1881,34654500,4.9,N/A,N/A,3.329869986,8.906470299,-9.876779039,175.2192,2
Greece,2618,0,25.3,Onshore,1,?,WRE Hellas SA,37.7010,24.9345,34382700,,N/A,N/A,,,,,
France,2619,0,25.3,Onshore,1,-,La Compagnie du Vent,43.3787,2.1762,34382700,5.769130435,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greece,2620,1,25.3,Onshore,0,2019,Megavouni Wind Park SA,41.2690,25.7748,34382700,5.633333333,N/A,N/A,0.51700002,-0.480481893,2.277180636,185.5363,9
Greece,2621,0,25.3,Onshore,0,2019,Sagias Wind Park SA,36.5636,22.4322,34382700,6.036666667,N/A,N/A,0.51700002,-0.480481893,2.277180636,185.5363,9
Greece,2622,0,25.2,Onshore,1,?,Niata Wind SA,41.2093,25.4582,34246800,,N/A,N/A,,,,,
Greece,2623,0,25.2,Onshore,1,?,Spider Energy SA,39.4824,20.3530,34246800,,N/A,N/A,,,,,
Greece,2624,0,25.2,Onshore,1,?,Rokas Renewables,41.2137,25.8524,34246800,,N/A,N/A,,,,,
Greece,2625,0,25.2,Onshore,1,?,Kyon LLC,38.5710,21.0558,34246800,,N/A,N/A,,,,,
Greece,2626,0,25.2,Onshore,1,?,GRSRE Wind Project Single Member SA,41.2066,25.4234,34246800,,N/A,N/A,,,,,
France,2627,0,25.2,Onshore,0,2023,H2Air,49.8404,1.9988,34246800,6.77,N/A,N/A,4.878357265,5.925709159,0.936487503,110.6418,19
France,2628,0,25.2,Onshore,0,2022,Evangelische Bank eG,47.7445,-0.4131,34246800,6.38,N/A,N/A,5.222367,23.73546019,2.570840474,111.9513,19
Greece,2629,0,25.2,Onshore,0,2021,Enerfarm SA,41.3065,23.4152,34246800,3.006666667,N/A,N/A,1.223826,12.30831,8.654497853,201.1673,10
France,2630,0,25.2,Onshore,1,2020,VSB,49.6388,2.6604,34246800,6.623333333,N/A,N/A,0.476498853,-0.206244222,-7.44064593,114.853,20
Greece,2631,1,25,Onshore,1,?,Siemens,38.8009,21.1524,33975000,,N/A,N/A,,,,,
Netherlands,2632,1,25,Onshore,0,2024,Flevo Ventum BV; Pure Energie,52.5053,5.7876,33975000,7.18,N/A,N/A,3.838393543,-22.05954498,0.074560722,45.02355,21
Poland,2633,1,25,Onshore,0,2023,PGE Energia Odnawialna SA,54.0811,22.2545,33975000,6.1,N/A,N/A,11.5289128,11.65365251,0.138832755,49.59429,15
Sweden,2634,0,25,Onshore,0,2023,BKW AG AG,60.4934,16.2364,33975000,4.19,N/A,N/A,8.548624897,-9.78123785,-0.310670185,36.37123,21
Spain,2635,1,25,Onshore,0,2023,Repsol SA,41.6411,-4.8570,33975000,5.51,N/A,N/A,3.532361335,-15.78456276,2.675663493,105.0343,16
Belgium,2636,1,25,Onshore,0,2023,Ventis,50.3916,3.9611,33975000,6.62,N/A,N/A,4.049010776,-20.82351047,1.251700632,105.1709,19
Germany,2637,0,25,Onshore,0,2023,WPD,52.5779,10.8226,33975000,6.7,N/A,N/A,5.946436677,6.403984767,-0.26643841,62.66008,21
Denmark,2638,0,25,Onshore,0,2022,Effo; Rokt,62.0308,-6.8492,33975000,9.825,N/A,N/A,7.696567,41.56489397,1.540173107,29.69815,21
Italy,2639,0,25,Onshore,0,2022,EDP,40.9702,15.4375,33975000,5.475,N/A,N/A,8.20129,50.17213354,4.661762651,138.3491,12
Italy,2640,0,25,Onshore,0,2022,RWE,37.5834,12.8253,33975000,5.45,N/A,N/A,8.20129,50.17213354,4.661762651,138.3491,12
France,2641,0,25,Onshore,0,2022,Boralex,48.3382,1.7524,33975000,6.285,N/A,N/A,5.222367,23.73546019,2.570840474,111.9513,19
Denmark,2642,0,25,Onshore,0,2021,Eurowind Energy A/S ; Community Ownership,56.2751,8.7409,33975000,7.923333333,N/A,N/A,1.853045,11.53909,7.38206629,35.78105,21
Germany,2643,0,25,Onshore,0,2021,PNE AG,52.6214,10.8352,33975000,6.623333333,N/A,N/A,3.14297,10.7082,3.669999862,67.87883,21
Portugal,2644,1,25,Offshore floating,0,2020,EDP; Engie; Repsol SA; Principle Power Inc,41.6510,-9.3060,98913333.33,7.186666667,37.12,667.86,-0.01243833,0.074857382,-8.204632063,134.8974,13
France,2645,0,25,Onshore,0,2020,Energieteam,50.1621,3.0103,33975000,6.716666667,N/A,N/A,0.476498853,-0.206244222,-7.44064593,114.853,20
Belarus,2646,0,25,Onshore,1,2019,Guris,55.1357,30.7769,33975000,4.673333333,N/A,N/A,5.599999905,10.15949014,1.446455477,40.99922,6
Sweden,2647,0,25,Onshore,0,2019,WIRTGEN Invest Holding GMBH,58.9367,14.7209,33975000,4.53,N/A,N/A,1.639000058,2.917844857,2.549647853,35.69584,21
Spain,2648,0,25,Onshore,0,2019,Enel,40.9960,-1.0390,33975000,6.143333333,N/A,N/A,0.699999988,-1.237797976,1.961178532,97.57882,16
Netherlands,2649,0,25,Onshore,0,2019,Vattenfall AB; Municipality of Moerdijk,51.6685,4.5596,33975000,7.106666667,N/A,N/A,2.673000097,7.572058201,2.300091595,47.58263,21
United Kingdom,2650,0,25,Onshore,0,2018,Renewable Energy Systems (RES),54.6309,-7.5872,33975000,7.523333333,N/A,N/A,2.32,1.855871797,1.405190266,86.34547,19
Denmark,2651,0,25,Onshore,0,2017,Aquila Capital,54.7644,11.0187,33975000,7.996666667,N/A,N/A,1.058,1.231712341,3.056477244,35.94862,21
Ireland,2652,0,25,Onshore,0,2017,GLIL Infrastructure,51.6663,-9.1803,33975000,8.39,N/A,N/A,0.251,2.02969408,10.04962854,65.23382,16
Germany,2653,0,25,Onshore,0,2017,Ahaus-Heek-Legden eG,52.0336,6.9836,33975000,6.526666667,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
United Kingdom,2654,0,25,Onshore,0,2016,Renantis UK Ltd,55.2265,-4.7787,33975000,8.49,N/A,N/A,1,1.675421953,1.921710078,87.82519,19
United Kingdom,2655,0,25,Onshore,1,2015,EDF,53.9737,-0.5622,33975000,7.383333333,N/A,N/A,0.40160796,1.249046922,2.222888449,87.86669,21
France,2656,0,25,Onshore,0,2015,Innergex Renewable Energy ; Desjardins Group Pension Plan,49.6432,4.1049,33975000,6.003333333,N/A,N/A,0.037512854,0.410003603,1.066754735,97.07373,19
France,2657,0,25,Onshore,0,2015,Leonidas Associates,49.9391,2.0265,33975000,6.92,N/A,N/A,0.037512854,0.410003603,1.066754735,97.07373,19
Germany,2658,0,25,Onshore,0,2015,WPD,53.6292,11.1234,33975000,6.823333333,N/A,N/A,0.514420152,-0.414969653,1.652719772,70.55988,21
United Kingdom,2659,0,25,Onshore,1,2014,Energiekontor,53.0485,-0.6626,33975000,7.36,N/A,N/A,1.425663471,1.997074246,3.194637313,87.09433,21
Poland,2660,1,25,Onshore,0,2014,Lewandpol Group,51.1690,18.2549,33975000,6.17,N/A,N/A,0.053822465,1.556987166,3.920508624,51.38972,15
Poland,2661,0,25,Onshore,0,2014,Polenergia SA,53.7006,22.5730,33975000,5.643333333,N/A,N/A,0.053822465,1.556987166,3.920508624,51.38972,15
Ukraine,2662,1,25,Onshore,0,2014,Wind Parks of Ukraine LLC,48.1904,39.6445,33975000,6.723333333,N/A,N/A,12.14751339,9.026567459,-10.07889499,70.31687,3
Austria,2663,1,25,Onshore,0,2014,Wien Energie Vertrieb GMBH & CO KG,47.5313,15.7030,33975000,4.043333333,N/A,N/A,1.605804801,1.590000033,0.755799077,84.04751,20
Poland,2664,0,25,Onshore,0,2013,Invenergy LLC,54.4002,16.5254,33975000,7.573333333,N/A,N/A,0.991986692,1.963978171,0.684240607,57.11583,15
Ukraine,2665,1,25,Onshore,0,2013,OOO VETRYANOI PARK KERCHENSKI,44.5761,33.5343,33975000,5.553333333,N/A,N/A,-0.230589375,10.70264053,0.045439094,40.51881,6
Ukraine,2666,1,25,Onshore,0,2013,Wind Parks of Ukraine LLC,48.1860,39.6662,33975000,6.683333333,N/A,N/A,-0.230589375,10.70264053,0.045439094,40.51881,6
Sweden,2667,0,25,Onshore,0,2013,Stena Renewables Energy AB,56.5367,13.2143,33975000,6.516666667,N/A,N/A,-0.044290561,5.775034904,1.137716498,40.3475,21
Ukraine,2668,1,25,Onshore,1,2012,Private Owner - Sergei Moskovsky,44.4366,34.1301,33975000,5.73,N/A,N/A,0.590463579,9.235818863,0.152314967,37.54154,7
Poland,2669,0,25,Onshore,0,2012,Invenergy LLC,54.3013,16.3430,33975000,7.713333333,N/A,N/A,3.560366631,5.809867859,1.511781676,54.78408,15
Romania,2670,1,25,Onshore,0,2012,SC Romconstruct Top SRL,44.3818,28.1710,33975000,5.69,N/A,N/A,3.337636948,6.9,1.903616968,35.37141,12
Sweden,2671,0,25,Onshore,0,2012,BayWa R.E. AG,57.2296,15.1881,33975000,4.42,N/A,N/A,0.888376236,0,-0.414465721,37.68633,21
Spain,2672,0,25,Onshore,0,2012,Cerebus Capital Management LP,43.1142,-7.9280,33975000,4.226666667,N/A,N/A,2.446004391,5.063489914,-2.865113673,89.56038,12
United Kingdom,2673,0,25,Onshore,1,2011,Community Windpower,56.0431,-3.9613,33975000,7.033333333,N/A,N/A,3.884572744,2.714504004,1.138362347,81.42507,21
Ukraine,2674,1,25,Onshore,1,2011,Wind Parks of Ukraine LLC,47.1419,37.9161,33975000,6.846666667,N/A,N/A,7.946462631,10.316782,5.44528081,36.87567,7
Bulgaria,2675,1,25,Onshore,0,2011,Renalfa IPP,42.7390,25.4325,33975000,4.026666667,N/A,N/A,4.217728615,2.232643127,2.09017527,21.19656,13
Denmark,2676,1,25,Onshore,0,2011,Community Ownership; Local Energy A/S,55.8613,8.4063,33975000,8.496666667,N/A,N/A,2.758678913,3.84332943,1.310803779,46.02907,21
Norway,2677,1,25,Onshore,0,2011,Energy Infrastructure Partners (EIP); Fortum,68.5145,17.8691,33975000,4.85,N/A,N/A,1.284952641,0.927414358,1.105656027,29.61085,21
Sweden,2678,0,25,Onshore,0,2011,Skelleftea Kraft AB,65.2573,18.9447,33975000,4.03,N/A,N/A,2.961152792,0,3.163910481,37.38042,21
Italy,2679,0,25,Onshore,0,2011,BKW AG,41.5287,15.1624,33975000,5.613333333,N/A,N/A,2.780637741,5.178144455,0.695463129,119.1057,16
Norway,2680,0,25,Onshore,1,2010,Statkraft AS,67.2276,14.4680,33975000,6.003333333,N/A,N/A,2.418909788,5.216736317,0.787051845,42.9516,21
Bulgaria,2681,1,25,Onshore,0,2010,Renalfa IPP,42.7390,25.4325,33975000,3.933333333,N/A,N/A,2.443273544,0.482104659,1.555359635,22.1016,13
Hungary,2682,0,25,Onshore,0,2010,ALTEO Group,47.6767,17.8594,33975000,5.506666667,N/A,N/A,4.855552197,5.511756897,1.076254043,79.49113,12
Italy,2683,0,25,Onshore,0,2010,RWE,39.5480,9.2344,33975000,5.633333333,N/A,N/A,1.525517702,1.211658478,1.529105757,118.7371,17
Portugal,2684,1,25,Onshore,0,2009,Ventient Energy,39.6093,-8.7551,33975000,5.443333333,N/A,N/A,-0.83552748,2.059766054,-3.122078123,87.79909,17
Portugal,2685,1,25,Onshore,0,2009,Saeta Yield SA,40.2064,-7.2489,33975000,5.386666667,N/A,N/A,-0.83552748,2.059766054,-3.122078123,87.79909,17
Spain,2686,0,25,Onshore,0,2009,Saeta Yield SA,36.5638,-5.8801,33975000,6.21,N/A,N/A,-0.28799358,1.29409802,-3.768133072,53.07928,20
Spain,2687,1,25,Onshore,0,2009,Viesgo Renovables SL,38.9386,-2.2946,33975000,5.923333333,N/A,N/A,-0.28799358,1.29409802,-3.768133072,53.07928,20
Germany,2688,0,25,Offshore hard mount,1,2007,Geo MBH,54.5400,14.4177,67586866.67,8.176666667,45.44,18.83,2.298336029,1.922888994,2.89010719,63.08144,21
Portugal,2689,1,25,Onshore,0,2007,Saeta Yield SA,40.1701,-7.1701,33975000,5.37,N/A,N/A,2.453965664,3.635817766,2.506579715,72.72796,18
Spain,2690,0,25,Onshore,0,2007,Enel,43.2774,-7.9877,33975000,5.456666667,N/A,N/A,2.787031889,3.659707785,3.533500122,35.69813,21
Germany,2691,0,25,Onshore,0,2007,Allianz SE,53.9128,9.2283,33975000,7.356666667,N/A,N/A,2.298336029,1.922888994,2.89010719,63.08144,21
Ireland,2692,0,25,Onshore,0,2006,Renewable Energy Systems (RES),52.2552,-9.1331,33975000,8.04,N/A,N/A,3.931634426,16.03149605,4.987854685,23.64522,21
Germany,2693,0,25,Onshore,0,2006,Windpark GMBH & CO Weserbrise KG,53.3809,8.8780,33975000,7.223333333,N/A,N/A,1.577432156,2.939437389,3.855736152,65.75402,21
Spain,2694,1,25,Onshore,0,2005,Endesa SA,41.9920,-2.3283,33975000,5.07,N/A,N/A,3.368458509,5.324462414,3.551225515,42.39519,21
Ireland,2695,1,25,Offshore hard mount,0,2004,GE Power,52.7890,-5.9490,65157712.5,7.996666667,10.53,27.23,2.199629545,4.255885601,6.78813864,28.08728,21
Spain,2696,0,25,Onshore,0,2004,Acciona ; Med Wind,42.6188,-1.5148,33975000,5.713333333,N/A,N/A,3.039197922,3.496448517,3.114531452,45.3327,21
Ireland,2697,1,25,Onshore,0,2003,Scottish and Southern Energy (SSE),54.1991,-8.7988,33975000,8.196666667,N/A,N/A,3.490487099,-0.665447652,3.013838746,29.81879,21
Spain,2698,0,25,Onshore,0,2003,Endesa SA,41.9477,-2.2858,33975000,5.176666667,N/A,N/A,3.039239645,2.886516333,2.939289664,47.68695,20
Italy,2699,0,25,Onshore,0,2002,E2I Energie Speciali SRL,41.9468,14.3885,33975000,4.526666667,N/A,N/A,2.465317011,0.270205379,0.26992962,105.9475,19
Spain,2700,0,25,Onshore,0,2002,Enel,40.7670,-0.8050,33975000,6.83,N/A,N/A,3.06576395,2.26916194,2.755456153,51.23687,21
Spain,2701,0,25,Onshore,0,2002,Endesa SA,41.9009,-2.1627,33975000,5.963333333,N/A,N/A,3.06576395,2.26916194,2.755456153,51.23687,21
Germany,2702,0,25,Onshore,0,2002,Energy Farming PVT LTD,52.6625,8.0356,33975000,6.79,N/A,N/A,1.420809388,0.910149872,-0.228310249,59.26526,21
Spain,2703,1,25,Onshore,0,2001,Grupo SAMCA,41.6990,-1.2990,33975000,6.37,N/A,N/A,3.589828014,3.382987976,3.919088791,54.05223,21
Spain,2704,0,25,Onshore,0,2001,Endesa SA,41.9503,-2.2998,33975000,5.386666667,N/A,N/A,3.589828014,3.382987976,3.919088791,54.05223,21
Spain,2705,0,25,Onshore,0,2001,Acciona,43.3001,-7.6801,33975000,4.823333333,N/A,N/A,3.589828014,3.382987976,3.919088791,54.05223,21
Spain,2706,0,25,Onshore,0,2000,Acciona,42.8233,-9.0891,33975000,7.006666667,N/A,N/A,3.433526039,4.422429562,5.200641186,57.84051,20
Germany,2707,1,25,Onshore,0,1999,GLS Beteiligung AG,51.6451,11.6571,33975000,6.67,N/A,N/A,0.585434675,1.275393605,2.130116685,59.87108,21
Spain,2708,0,25,Onshore,0,1998,Acciona,43.4601,-7.7901,33975000,4.763333333,N/A,N/A,1.834336162,1.4659338,4.301977405,62.35467,19
Spain,2709,0,25,Onshore,0,1998,Eurus Energy,43.6920,-7.6718,33975000,4.763333333,N/A,N/A,1.834336162,1.4659338,4.301977405,62.35467,19
Italy,2710,0,25,Onshore,0,1997,IVPC Group,41.1329,15.3009,33975000,5.086666667,N/A,N/A,2.043103218,4.079268456,1.92572123,116.4906,18
Spain,2711,0,25,Onshore,0,1997,Acciona,42.5475,-1.5842,33975000,5.486666667,N/A,N/A,1.971074224,3.443284035,3.587299762,64.2863,19
Spain,2712,0,25,Onshore,0,1997,Acciona,42.5795,-1.5191,33975000,5.7,N/A,N/A,1.971074224,3.443284035,3.587299762,64.2863,19
Spain,2713,0,25,Onshore,0,1996,Acciona,41.9959,-6.9001,33975000,4.87,N/A,N/A,3.558846951,3.831655979,2.607411183,65.44195,19
Germany,2714,0,25,Onshore,0,1996,CPC Germania GmbH & Co KG,53.6472,7.5263,33975000,7.906666667,N/A,N/A,1.449728251,2.455082417,1.038155811,57.57876,21
Belgium,2715,0,25,Onshore,0,2009,Ventient Energy,50.2158,4.3294,33975000,6.43,N/A,N/A,-0.053141583,-3.909904718,-1.906440894,100.2168,20
France,2716,0,25,Onshore,0,2010,Enertrag LTD,43.6577,2.6713,33975000,6.026666667,N/A,N/A,1.531118512,3.301385641,2.000324727,86.31331,21
Italy,2717,0,25,Onshore,0,-,Fri-El SPA,39.5371,9.1982,33975000,5.665217391,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Italy,2718,0,25,Onshore,0,-,ERG,41.3174,14.9258,33975000,5.584090909,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,2719,0,25,Onshore,0,2018,Dalane Vind AS,58.3828,6.0974,33975000,5.92,N/A,N/A,2.76,5.010062695,0.828900664,39.40632,21
Spain,2720,0,25,Onshore,0,2022,EDP,41.1147,-1.0889,33975000,6.02,N/A,N/A,8.390576,29.4164652,6.179312226,109.4039,16
Greece,2721,1,24.9,Onshore,0,2016,Terna Energy,37.4876,23.9036,33839100,6.413333333,N/A,N/A,-0.825660706,-3.180480957,-0.031795213,183.6976,6
United Kingdom,2722,0,24.7,Onshore,0,2013,E.ON,57.9956,-4.5470,33567300,7.816666667,N/A,N/A,2.291663408,2.352421284,1.799921494,85.31606,20
Greece,2723,0,24.6,Onshore,0,2021,Jasper Energy Hellas,38.0331,24.4717,33431400,6.826666667,N/A,N/A,1.223826,12.30831,8.654497853,201.1673,10
France,2724,0,24.6,Onshore,0,2014,Valorem,47.7889,3.7029,33431400,5.843333333,N/A,N/A,0.507763743,1.757389784,0.997832938,96.3175,21
United Kingdom,2725,0,24.6,Onshore,0,2013,JLEN Environmental Assets Group,53.8737,-0.3609,33431400,7.38,N/A,N/A,2.291663408,2.352421284,1.799921494,85.31606,20
France,2726,0,24.5,Onshore,0,2017,Vent du Nord,49.7607,1.9166,33295500,6.71,N/A,N/A,1.163,1.601827264,2.083614851,98.48331,19
France,2727,0,24.5,Onshore,0,2009,Engie,49.8962,3.5364,33295500,6.476666667,N/A,N/A,0.087618731,-0.113706842,-2.824551503,84.03127,21
France,2728,0,24.4,Onshore,0,2022,BayWa R.E. AG; Quenea,47.0864,-0.5066,33159600,6.51,N/A,N/A,5.222367,23.73546019,2.570840474,111.9513,19
France,2729,0,24.4,Onshore,0,2018,EEF SAS,49.1082,0.8165,33159600,6.646666667,N/A,N/A,1.85,2.38292861,1.645908729,98.1591,19
Greece,2730,1,24.3,Onshore,0,2018,National Energy Holdings,39.1394,21.3365,33023700,3.723333333,N/A,N/A,0.63,0.067085952,2.064672533,190.6744,8
France,2731,0,24.2,Onshore,1,2016,Valeco,49.7092,2.1378,32887800,6.49,N/A,N/A,0.183335871,-0.11499691,0.860031082,98.02478,19
Greece,2732,0,24,Onshore,1,?,Jasper Energy Hellas,39.1566,21.7430,32616000,,N/A,N/A,,,,,
Greece,2733,0,24,Onshore,1,?,Terna Energy,38.5144,21.8556,32616000,,N/A,N/A,,,,,
Poland,2734,0,24,Onshore,0,2024,Equitix LTD,50.9619,22.2464,32616000,6.2,N/A,N/A,11.5289128,11.65365251,0.138832755,49.59429,15
Germany,2735,0,24,Onshore,0,2023,EnBW,53.8902,9.8510,32616000,7.18,N/A,N/A,5.946436677,6.403984767,-0.26643841,62.66008,21
Germany,2736,0,24,Onshore,0,2023,KGAL Group; GP Joule,54.7960,9.1218,32616000,7.69,N/A,N/A,5.946436677,6.403984767,-0.26643841,62.66008,21
Germany,2737,0,24,Onshore,0,2023,NOTUS Energy,53.3897,9.6269,32616000,7.1,N/A,N/A,5.946436677,6.403984767,-0.26643841,62.66008,21
Poland,2738,0,24,Onshore,0,2022,EDF,52.4928,14.6515,32616000,6.38,N/A,N/A,14.3,29.09904934,5.255456974,49.1991,15
Poland,2739,0,24,Onshore,0,2022,ERG,52.5539,18.5200,32616000,6.315,N/A,N/A,14.3,29.09904934,5.255456974,49.1991,15
Spain,2740,1,24,Onshore,0,2022,Acciona ; Med Wind,39.9665,-0.0812,32616000,4.785,N/A,N/A,8.390576,29.4164652,6.179312226,109.4039,16
Belgium,2741,0,24,Onshore,0,2022,Elicio,50.7584,5.6095,32616000,6.555,N/A,N/A,9.597511,52.98778758,4.233431834,104.2816,19
Germany,2742,0,24,Onshore,0,2022,WPD,52.3065,14.3896,32616000,6.38,N/A,N/A,6.872574,35.04750171,1.369731055,64.78936,21
United Kingdom,2743,0,24,Onshore,0,2021,BayWa R.E. AG,55.9185,-4.7289,32616000,7.563333333,N/A,N/A,2.5,9.108159,8.575950905,105.196,20
Spain,2744,0,24,Onshore,0,2021,Enel,41.8930,-1.5090,32616000,5.776666667,N/A,N/A,3.093135,21.23588,6.683144185,115.5939,16
France,2745,0,24,Onshore,0,2021,Octopus,46.1769,0.3566,32616000,6.393333333,N/A,N/A,1.642331,10.45525,6.882337866,113.0879,20
Greece,2746,0,24,Onshore,0,2020,Terna Energy,38.3934,24.1599,32616000,6.76,N/A,N/A,-1.247951877,-3.765300547,-9.196231471,213.1524,9
Greece,2747,1,24,Onshore,0,2020,Volterra SA,38.4080,23.4563,32616000,5.7,N/A,N/A,-1.247951877,-3.765300547,-9.196231471,213.1524,9
Greece,2748,0,24,Onshore,0,2020,PAP Energy SA,38.4260,21.6686,32616000,4.373333333,N/A,N/A,-1.247951877,-3.765300547,-9.196231471,213.1524,9
Spain,2749,1,24,Onshore,0,2020,Alfanar Group,36.9516,-5.0247,32616000,4.78,N/A,N/A,-0.322671033,-3.54274493,-10.94007066,119.179,16
Ireland,2750,0,24,Onshore,0,2019,Enerco Energy,52.7625,-9.2569,32616000,8.643333333,N/A,N/A,0.876999974,1.085116029,5.040550288,55.92433,18
Spain,2751,0,24,Onshore,0,2019,Viesgo Renovables SL,36.5762,-6.1518,32616000,6.016666667,N/A,N/A,0.699999988,-1.237797976,1.961178532,97.57882,16
Spain,2752,0,24,Onshore,0,2019,Naturgy,41.8690,-1.4790,32616000,5.85,N/A,N/A,0.699999988,-1.237797976,1.961178532,97.57882,16
Spain,2753,0,24,Onshore,0,2019,Enel,41.9020,-1.4870,32616000,5.85,N/A,N/A,0.699999988,-1.237797976,1.961178532,97.57882,16
Spain,2754,1,24,Onshore,0,2019,Enel,41.3450,-0.9280,32616000,6.216666667,N/A,N/A,0.699999988,-1.237797976,1.961178532,97.57882,16
Spain,2755,0,24,Onshore,0,2019,Greenalia SA,43.1084,-9.0684,32616000,6.826666667,N/A,N/A,0.699999988,-1.237797976,1.961178532,97.57882,16
France,2756,0,24,Onshore,0,2019,Boralex,50.1004,3.1362,32616000,6.703333333,N/A,N/A,1.299999952,1.744135022,2.027446476,97.88586,19
Netherlands,2757,0,24,Onshore,0,2019,ABN AMRO; Windunie; Pure Energy,52.5642,6.4337,32616000,6.993333333,N/A,N/A,2.673000097,7.572058201,2.300091595,47.58263,21
Sweden,2758,0,24,Onshore,0,2018,Prime Capital AG,58.8419,12.3076,32616000,4.636666667,N/A,N/A,1.95,3.724690449,1.902964588,39.4871,21
France,2759,0,24,Onshore,0,2018,EnBW,42.8118,2.4402,32616000,5.89,N/A,N/A,1.85,2.38292861,1.645908729,98.1591,19
France,2760,0,24,Onshore,0,2018,Volkswind GmbH,50.0009,3.3369,32616000,6.483333333,N/A,N/A,1.85,2.38292861,1.645908729,98.1591,19
Germany,2761,0,24,Onshore,0,2018,Windpark Neuratjensdorf-Rossee GMBH & CO KG,54.3398,10.9984,32616000,8.253333333,N/A,N/A,1.73,1.753376603,1.116443109,60.72854,21
France,2762,0,24,Onshore,0,2017,Total Quadran,48.4524,5.5474,32616000,5.876666667,N/A,N/A,1.163,1.601827264,2.083614851,98.48331,19
France,2763,0,24,Onshore,0,2017,Windvision,49.4378,4.4029,32616000,5.93,N/A,N/A,1.163,1.601827264,2.083614851,98.48331,19
France,2764,0,24,Onshore,0,2017,Boralex,50.0562,3.4708,32616000,6.293333333,N/A,N/A,1.163,1.601827264,2.083614851,98.48331,19
France,2765,1,24,Onshore,0,2017,EuroCape New Energy,46.7031,0.7745,32616000,6.086666667,N/A,N/A,1.163,1.601827264,2.083614851,98.48331,19
Germany,2766,0,24,Onshore,0,2017,Primus Energie GMBH,50.4294,11.9152,32616000,5.913333333,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
Germany,2767,0,24,Onshore,0,2017,Primus Energie GMBH,50.4335,11.9123,32616000,5.913333333,N/A,N/A,1.711,1.241764545,2.716024519,63.95238,21
Finland,2768,0,24,Onshore,0,2016,Taaleri Energia Funds Management OY,62.0962,22.5728,32616000,4.396666667,N/A,N/A,0.356684387,0.551684678,2.571934232,68.59111,20
Finland,2769,0,24,Onshore,0,2016,Taaleri Energia Funds Management OY,64.7095,28.7040,32616000,4.606666667,N/A,N/A,0.356684387,0.551684678,2.571934232,68.59111,20
Finland,2770,1,24,Onshore,0,2016,Allianz SE,67.6372,25.7362,32616000,4.29,N/A,N/A,0.356684387,0.551684678,2.571934232,68.59111,20
Portugal,2771,1,24,Onshore,0,2016,Ventinveste Eolica SGPS SA,40.6276,-7.9611,32616000,3.723333333,N/A,N/A,0.607398987,0.385936558,2.004141094,131.5057,11
France,2772,0,24,Onshore,0,2016,Innergex Renewable Energy ; Desjardins Group Pension Plan,46.0690,0.0914,32616000,6.12,N/A,N/A,0.183335871,-0.11499691,0.860031082,98.02478,19
Germany,2773,0,24,Onshore,0,2016,WWU Wind,51.7729,7.1872,32616000,6.663333333,N/A,N/A,0.491744995,0,2.294710677,67.63065,21
United Kingdom,2774,0,24,Onshore,1,2015,Renewable Energy Systems (RES),53.4172,-0.6527,32616000,7.223333333,N/A,N/A,0.40160796,1.249046922,2.222888449,87.86669,21
Poland,2775,0,24,Onshore,0,2015,PGE Energia Odnawialna SA,52.3548,18.2203,32616000,6.455,N/A,N/A,-0.874127567,0.702593625,4.431767003,51.34457,16
Poland,2776,0,24,Onshore,0,2015,Windflower,53.2849,15.3211,32616000,6.793333333,N/A,N/A,-0.874127567,0.702593625,4.431767003,51.34457,16
